locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIEECKCC_00001	rRNA	1523				16S ribosomal RNA
AIEECKCC_00002	CDS	102				hypothetical protein
AIEECKCC_00003	CDS	474				hypothetical protein
AIEECKCC_00004	CDS	102				hypothetical protein
AIEECKCC_00005	CDS	513				hypothetical protein
AIEECKCC_00006	CDS	1380	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
AIEECKCC_00007	CDS	636				hypothetical protein
AIEECKCC_00008	CDS	303				hypothetical protein
AIEECKCC_00009	CDS	438				hypothetical protein
AIEECKCC_00010	CDS	2022				hypothetical protein
AIEECKCC_00011	CDS	93				hypothetical protein
AIEECKCC_00012	CDS	480				hypothetical protein
AIEECKCC_00013	CDS	2232	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
AIEECKCC_00014	CDS	1191	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
AIEECKCC_00015	CDS	690			COG2830	putative protein
AIEECKCC_00016	CDS	777	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
AIEECKCC_00017	CDS	648	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
AIEECKCC_00018	CDS	1173				hypothetical protein
AIEECKCC_00019	CDS	1245	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
AIEECKCC_00020	CDS	1206	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
AIEECKCC_00021	CDS	1236				hypothetical protein
AIEECKCC_00022	CDS	2601	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
AIEECKCC_00023	CDS	1248				hypothetical protein
AIEECKCC_00024	CDS	1233				hypothetical protein
AIEECKCC_00025	CDS	1239				hypothetical protein
AIEECKCC_00026	CDS	1299				hypothetical protein
AIEECKCC_00027	CDS	624				hypothetical protein
AIEECKCC_00028	CDS	1260				hypothetical protein
AIEECKCC_00029	CDS	1275	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
AIEECKCC_00030	CDS	666	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
AIEECKCC_00031	CDS	1296				hypothetical protein
AIEECKCC_00032	CDS	1320				hypothetical protein
AIEECKCC_00033	CDS	1248				hypothetical protein
AIEECKCC_00034	CDS	117				hypothetical protein
AIEECKCC_00035	CDS	924				hypothetical protein
AIEECKCC_00036	CDS	483	cdd	3.5.4.5	COG0295	Cytidine deaminase
AIEECKCC_00037	CDS	1635	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
AIEECKCC_00038	CDS	540	azoR	1.7.1.17		FMN-dependent NADH-azoreductase
AIEECKCC_00039	CDS	1497	napF_1			Ferredoxin-type protein NapF
AIEECKCC_00040	CDS	1404				hypothetical protein
AIEECKCC_00041	CDS	1926	btuB_1		COG4206	Vitamin B12 transporter BtuB
AIEECKCC_00042	CDS	510				hypothetical protein
AIEECKCC_00043	CDS	1452	viaA			Protein ViaA
AIEECKCC_00044	CDS	1554	ravA	3.6.3.-		ATPase RavA
AIEECKCC_00045	CDS	639				hypothetical protein
AIEECKCC_00046	CDS	807	nudC_1	3.6.1.22		NADH pyrophosphatase
AIEECKCC_00047	CDS	1743	pgcA	5.4.2.2		Phosphoglucomutase
AIEECKCC_00048	CDS	1644				hypothetical protein
AIEECKCC_00049	CDS	1668				hypothetical protein
AIEECKCC_00050	CDS	1107	ald	1.4.1.1		Alanine dehydrogenase
AIEECKCC_00051	CDS	1224				hypothetical protein
AIEECKCC_00052	CDS	1437	gadB	4.1.1.15	COG0076	Glutamate decarboxylase
AIEECKCC_00053	CDS	972	glsA1	3.5.1.2	COG2066	Glutaminase 1
AIEECKCC_00054	CDS	744				hypothetical protein
AIEECKCC_00055	CDS	1587	gadC		COG0531	Glutamate/gamma-aminobutyrate antiporter
AIEECKCC_00056	CDS	951		1.6.5.11	COG2070	NADH:quinone reductase
AIEECKCC_00057	CDS	663				hypothetical protein
AIEECKCC_00058	CDS	558				hypothetical protein
AIEECKCC_00059	CDS	1101				hypothetical protein
AIEECKCC_00060	CDS	609	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
AIEECKCC_00061	CDS	705				hypothetical protein
AIEECKCC_00062	CDS	711				hypothetical protein
AIEECKCC_00063	CDS	849	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
AIEECKCC_00064	CDS	393				hypothetical protein
AIEECKCC_00065	CDS	510	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
AIEECKCC_00066	CDS	2910				hypothetical protein
AIEECKCC_00067	CDS	588				hypothetical protein
AIEECKCC_00068	CDS	1221	arnB_1	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
AIEECKCC_00069	CDS	2901			COG0247	putative protein
AIEECKCC_00070	CDS	1071	wbpI_1	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
AIEECKCC_00071	CDS	1227				hypothetical protein
AIEECKCC_00072	CDS	1218	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
AIEECKCC_00073	CDS	1095				hypothetical protein
AIEECKCC_00074	CDS	1458				hypothetical protein
AIEECKCC_00075	CDS	1131				hypothetical protein
AIEECKCC_00076	CDS	1368				hypothetical protein
AIEECKCC_00077	CDS	252				hypothetical protein
AIEECKCC_00078	CDS	1233				hypothetical protein
AIEECKCC_00079	CDS	483				hypothetical protein
AIEECKCC_00080	CDS	570				hypothetical protein
AIEECKCC_00081	CDS	1290	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
