locus_tag	ftype	length_bp	gene	EC_number	COG	product
LOAGDLFN_00001	CDS	1407	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LOAGDLFN_00002	CDS	741				hypothetical protein
LOAGDLFN_00003	CDS	2547				hypothetical protein
LOAGDLFN_00004	CDS	3006				hypothetical protein
LOAGDLFN_00005	CDS	369	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
LOAGDLFN_00006	CDS	882				hypothetical protein
LOAGDLFN_00007	CDS	1026				hypothetical protein
LOAGDLFN_00008	CDS	1317	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
LOAGDLFN_00009	CDS	1674		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
LOAGDLFN_00010	CDS	201				hypothetical protein
LOAGDLFN_00011	CDS	693				hypothetical protein
LOAGDLFN_00012	CDS	444	rplI		COG0359	50S ribosomal protein L9
LOAGDLFN_00013	CDS	270				hypothetical protein
LOAGDLFN_00014	CDS	345				hypothetical protein
LOAGDLFN_00015	CDS	447	slyA			Transcriptional regulator SlyA
LOAGDLFN_00016	CDS	183				hypothetical protein
LOAGDLFN_00017	CDS	699	mprA_1		COG0745	Response regulator MprA
LOAGDLFN_00018	CDS	1599	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
LOAGDLFN_00019	CDS	2160	fusA_1		COG0480	Elongation factor G
LOAGDLFN_00020	CDS	147				hypothetical protein
LOAGDLFN_00021	CDS	1131	hemW		COG0635	Heme chaperone HemW
LOAGDLFN_00022	CDS	192				hypothetical protein
LOAGDLFN_00023	CDS	1242				hypothetical protein
LOAGDLFN_00024	CDS	906				IS982 family transposase IS195
LOAGDLFN_00025	CDS	1467				hypothetical protein
LOAGDLFN_00026	CDS	987				hypothetical protein
LOAGDLFN_00027	CDS	627				hypothetical protein
LOAGDLFN_00028	CDS	408				hypothetical protein
LOAGDLFN_00029	CDS	891				hypothetical protein
LOAGDLFN_00030	CDS	2676	btuB_1			Vitamin B12 transporter BtuB
LOAGDLFN_00031	CDS	1032				hypothetical protein
LOAGDLFN_00032	CDS	1938				hypothetical protein
LOAGDLFN_00033	CDS	2046		3.2.1.131	COG3661	Extracellular xylan exo-alpha-(1->2)-glucuronosidase
LOAGDLFN_00034	CDS	2595				hypothetical protein
LOAGDLFN_00035	CDS	1584		3.2.1.-		Beta-xylosidase
LOAGDLFN_00036	CDS	2508				hypothetical protein
LOAGDLFN_00037	CDS	4053	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
LOAGDLFN_00038	CDS	1614				IS66 family transposase ISBvu4
LOAGDLFN_00039	CDS	510				hypothetical protein
LOAGDLFN_00040	CDS	1935				hypothetical protein
LOAGDLFN_00041	CDS	3072				TonB-dependent receptor P3
LOAGDLFN_00042	CDS	1899		3.2.1.55	COG3507	Non-reducing end alpha-L-arabinofuranosidase BoGH43A
